Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Aaron Ramsey,MF,16,772,0,2,0,29,6,20.7,3,0,11,15,24,1,Midfielder,1.78 m,76 kg,12/26/1990,Wales,ARS
Ainsley Maitland-Niles,MF,1,1,0,0,0,0,0,-,0,0,0,0,0,0,Midfielder,1.77 m,71 kg,8/29/1997,England,ARS
Alex Iwobi,F,24,1419,3,4,0,35,9,25.7,1,0,6,12,33,3,Forward,1.75 m,72 kg,5/3/1996,Nigeria,ARS
Alex Oxlade-Chamberlain,MF,26,1352,2,5,0,26,7,26.9,1,0,23,16,74,0,Midfielder,1.80 m,70 kg,8/15/1993,England,ARS
Alexis Sánchez,F,31,2628,19,9,2,104,41,39.4,5,0,40,52,136,20,Forward,1.69 m,70 kg,12/19/1988,Chile,ARS
Carl Jenkinson,D,1,83,0,0,0,0,0,-,0,0,1,1,3,0,Defender,1.85 m,77 kg,2/8/1992,England,ARS
Damián  Martínez,GK,2,180,0,0,0,0,0,0,0,0,1,0,0,0,GoalKeeper ,1.93 m,85 kg,9/2/1992,Argentina,ARS
Danny Welbeck,F,9,417,1,0,0,9,5,55.6,0,0,5,5,2,1,Forward,1.84 m,73 kg,11/26/1990,England,ARS
David Ospina,GK,2,142,0,0,0,0,0,0,0,0,0,1,0,0,GoalKeeper ,1.83 m,79 kg,8/31/1988,Colombia,ARS
Francis Coquelin,MF,24,1577,0,0,0,12,2,16.7,5,0,33,34,9,0,Midfielder,1.78 m,74 kg,5/13/1991,France,ARS
Gabriel,D,16,1298,0,0,0,7,2,28.6,4,0,14,8,14,0,Defender,1.85 m,72 kg,11/26/1990,Brazil,ARS
Granit Xhaka,MF,25,1923,1,2,0,24,4,16.7,4,2,30,14,35,1,Midfielder,1.85 m,82 kg,9/27/1992,Switzerland,ARS
Héctor Bellerín,D,26,2064,0,2,0,17,4,23.5,2,0,17,11,75,0,Defender,1.77 m,74 kg,3/19/1995,Spain,ARS
Kieran Gibbs,D,6,295,0,1,0,3,2,66.7,3,0,7,1,19,0,Defender,1.80 m,70 kg,9/26/1989,England,ARS
Laurent Koscielny,D,28,2449,2,0,0,8,3,37.5,3,0,14,24,4,1,Defender,1.85 m,75 kg,9/10/1985,France,ARS
Lucas Pérez,F,11,265,1,0,0,9,4,44.4,0,0,3,2,11,1,Forward,1.81 m,78 kg,9/10/1988,Spain,ARS
Mathieu Debuchy,D,1,16,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.76 m,76 kg,7/28/1985,France,ARS
Mesut Özil,MF,26,2225,7,7,0,36,15,41.7,0,0,8,20,194,16,Midfielder,1.80 m,76 kg,10/15/1988,Germany,ARS
Mohamed Elneny,MF,14,694,0,1,0,14,2,14.3,1,0,10,5,10,0,Midfielder,1.80 m,71 kg,7/11/1992,Egypt,ARS
Nacho Monreal,D,29,2523,0,2,0,9,2,22.2,3,0,26,33,78,7,Defender,1.78 m,72 kg,2/26/1986,Spain,ARS
Olivier Giroud,F,23,913,9,3,0,30,14,46.7,1,0,16,10,3,9,Forward,1.92 m,88 kg,9/30/1986,France,ARS
Petr Cech,GK,28,2468,0,0,0,0,0,0,2,0,2,1,0,0,GoalKeeper ,1.96 m,90 kg,5/20/1982,Czechoslovakia,ARS
Rob Holding,D,4,360,0,0,0,0,0,-,1,0,3,1,0,0,Defender,1.83 m,75 kg,9/12/1995,England,ARS
Santi Cazorla,MF,8,619,2,2,2,8,4,50,2,0,4,2,45,1,Midfielder,1.69 m,66 kg,12/13/1984,Spain,ARS
Shkodran Mustafi,D,23,2005,2,2,0,18,3,16.7,9,0,33,14,22,0,Defender,1.84 m,82 kg,4/17/1992,Germany,ARS
Theo Walcott,F,24,1830,10,2,0,58,27,46.6,1,0,14,26,59,15,Forward,1.75 m,68 kg,3/16/1989,England,ARS
