Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Adam Federici,GK,2,180,0,0,0,0,0,0,1,0,0,0,0,0,GoalKepeer,1.88 m,90 kg,1/31/1985,Australia,BOU
Adam Smith,D,31,2649,1,4,0,24,5,20.8,6,0,42,61,65,1,Defender,1.80 m,78 kg,4/29/1991,England,BOU
Andrew Surman,MF,21,1712,0,1,0,7,2,28.6,1,1,15,16,8,0,Midfielder,1.78 m,73 kg,8/20/1986,South Africa,BOU
Artur Boruc,GK,31,2790,0,0,0,0,0,0,2,0,0,4,0,0,GoalKepeer,1.93 m,87 kg,2/20/1980,Poland,BOU
Baily Cargill,D,1,12,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.89 m,87 kg,10/13/1995,England,BOU
Benik Afobe,F,28,1279,5,3,0,34,16,47.1,1,0,22,14,3,13,Forward,1.83 m,78 kg,2/12/1993,England,BOU
Brad Smith,D,5,272,0,0,0,2,1,50,1,0,2,3,4,0,Defender,1.78 m,70 kg,4/9/1994,Australia,BOU
Callum Wilson,F,20,1363,6,0,3,32,12,37.5,0,0,29,24,13,19,Forward,1.80 m,66 kg,2/27/1992,England,BOU
Charlie Daniels,D,29,2610,3,3,0,15,5,33.3,1,0,8,21,100,0,Defender,1.78 m,75 kg,9/7/1986,England,BOU
Dan Gosling,MF,24,1214,2,0,0,15,3,20,6,0,25,29,10,1,Midfielder,1.83 m,79 kg,2/2/1990,England,BOU
Harry Arter,MF,31,2609,1,3,0,47,9,19.1,9,1,31,40,29,0,Midfielder,1.76 m,70 kg,12/28/1989,England,BOU
Jack Wilshere,MF,27,1912,0,2,0,27,10,37,3,0,19,48,54,0,Midfielder,1.70 m,65 kg,1/1/1992,England,BOU
Jordon Ibe,MF,22,1016,0,0,0,15,1,6.7,0,0,5,12,54,1,Midfielder,1.76 m,81 kg,12/8/1995,England,BOU
Joshua King,F,32,2365,13,2,2,53,25,47.2,1,0,52,39,51,4,Forward,1.80 m,74 kg,1/15/1992,Norway,BOU
Junior Stanislas,MF,16,1176,4,5,2,31,15,48.4,1,0,5,6,62,4,Midfielder,1.83 m,76 kg,11/26/1989,England,BOU
Lewis Cook,MF,2,115,0,0,0,0,0,-,0,0,0,0,2,0,Midfielder,1.75 m,71 kg,2/3/1997,England,BOU
Lys Mousset,MF,6,65,0,0,0,3,1,33.3,0,0,2,0,2,0,Midfielder,1.84 m,80 kg,2/8/1996,France,BOU
Marc Pugh,MF,16,927,1,1,0,12,2,16.7,1,0,6,15,31,0,Midfielder,1.80 m,72 kg,4/2/1987,England,BOU
Max Gradel,MF,9,106,0,0,0,3,1,33.3,2,0,4,1,8,2,Midfielder,1.77 m,70 kg,11/30/1987,Ivory Coast,BOU
Ryan Fraser,MF,23,1476,3,2,0,18,9,50,3,0,15,53,111,0,Midfielder,1.63 m,70 kg,2/24/1994,Scotland,BOU
Simon Francis,D,29,2490,0,1,0,5,0,0,3,1,24,16,73,0,Defender,1.83 m,90 kg,2/16/1985,England,BOU
Steve Cook,D,33,2970,2,0,0,24,8,33.3,5,0,13,13,56,0,Defender,1.85 m,82 kg,4/19/1991,England,BOU
Tyrone Mings,D,7,506,0,0,0,1,1,100,0,0,7,4,2,0,Defender,1.91 m,77 kg,3/19/1993,England,BOU
