Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Andre Gray,F,27,2032,8,2,2,41,18,43.9,2,0,14,13,27,29,Forward,1.78 m,83 kg,6/26/1991,England,BUR
Ashley Barnes,F,23,1485,5,1,2,41,17,41.5,5,1,44,66,9,20,Forward,1.86 m,77 kg,10/30/1989,England,BUR
Ashley Westwood,MF,5,202,0,0,0,0,0,-,2,0,4,0,1,0,Midfielder,1.70 m,81 kg,4/1/1990,England,BUR
Ben Mee,D,33,2970,1,0,0,16,6,37.5,5,0,23,27,9,1,Defender,1.80 m,74 kg,9/21/1989,England,BUR
Daniel Agyei,F,2,8,0,0,0,0,0,-,0,0,0,1,0,0,Forward,1.83 m,77 kg,6/1/1997,England,BUR
Dean Marney,MF,21,1770,1,2,0,12,3,25,7,0,34,19,7,0,Midfielder,1.83 m,72 kg,1/31/1984,England,BUR
George Boyd,MF,32,2554,2,0,0,31,7,22.6,3,0,29,25,42,7,Midfielder,1.86 m,79 kg,10/2/1985,England,BUR
James Tarkowski,D,14,151,0,0,0,2,0,0,1,0,6,4,5,2,Defender,1.85 m,81 kg,11/19/1992,England,BUR
Jeff Hendrick,MF,27,2245,2,1,0,27,6,22.2,5,1,39,30,18,4,Midfielder,1.85 m,79 kg,1/31/1992,Ireland,BUR
Joey Barton,MF,13,1014,1,0,0,12,3,25,4,0,16,15,21,0,Midfielder,1.80 m,70 kg,9/2/1982,England,BUR
Johann Gudmundsson,MF,16,921,1,1,0,15,7,46.7,0,0,2,10,77,1,Midfielder,1.86 m,79 kg,10/27/1990,Iceland,BUR
Jon Flanagan,D,5,314,0,0,0,0,0,-,2,0,7,2,9,0,Defender,1.81 m,79 kg,1/21/1993,England,BUR
Matthew Lowton,D,31,2790,0,2,0,6,2,33.3,8,0,27,17,135,0,Defender,1.80 m,78 kg,6/9/1989,England,BUR
Michael Keane,D,33,2970,2,1,0,22,7,31.8,4,0,16,9,6,1,Defender,1.91 m,82 kg,1/11/1993,England,BUR
Paul Robinson,GK,3,270,0,0,0,0,0,0,0,0,0,1,3,0,GoalKeeper,1.93 m,90 kg,10/15/1979,England,BUR
Robbie Brady,MF,10,517,1,1,0,15,3,20,0,0,5,9,54,0,Midfielder,1.75 m,69 kg,1/14/1992,Ireland,BUR
Sam Vokes,F,33,1695,6,3,2,43,17,39.5,0,0,18,25,3,18,Forward,1.86 m,90 kg,10/21/1989,England,BUR
Scott Arfield,MF,27,1766,1,0,0,36,6,16.7,3,0,31,14,64,3,Midfielder,1.78 m,70 kg,11/1/1988,Scotland,BUR
Stephen Ward,D,32,2827,1,0,0,7,1,14.3,5,0,31,48,119,0,Defender,1.84 m,82 kg,8/20/1985,Ireland,BUR
Steven Defour,MF,20,1066,1,3,0,8,6,75,1,0,14,9,83,2,Midfielder,1.73 m,65 kg,4/15/1988,Belgium,BUR
Tom Heaton,GK,30,2700,0,0,0,0,0,0,1,0,0,0,3,0,GoalKeeper,1.88 m,85 kg,4/15/1986,England,BUR
