Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Asmir Begovic,GK,1,90,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,1.98 m,83 kg,6/20/1987,Yugoslavia,CHE
César Azpilicueta,D,32,2880,0,2,0,10,3,30,3,0,23,19,50,3,Defender,1.78 m,75 kg,8/28/1989,Spain,CHE
Cesc Fàbregas,MF,23,961,4,7,0,20,7,35,7,0,16,13,74,0,Midfielder,1.75 m,74 kg,5/4/1987,Spain,CHE
David Luiz,D,28,2520,1,0,0,27,10,37,6,0,22,25,13,3,Defender,1.89 m,84 kg,4/22/1987,Brazil,CHE
Diego Costa,F,30,2667,17,5,0,92,36,39.1,8,0,39,81,27,26,Forward,1.88 m,85 kg,10/7/1988,Brazil,CHE
Eden Hazard,MF,30,2520,14,5,2,64,30,46.9,2,0,16,84,121,5,Midfielder,1.73 m,74 kg,1/7/1991,Belgium,CHE
Gary Cahill,D,32,2874,4,0,0,16,7,43.8,4,0,29,21,2,2,Defender,1.93 m,86 kg,12/19/1985,England,CHE
John Terry,D,5,366,0,0,0,4,1,25,1,0,4,2,1,0,Defender,1.87 m,90 kg,12/7/1980,England,CHE
Kurt Zouma,D,7,152,0,0,0,0,0,-,0,0,1,2,2,0,Defender,1.90 m,92 kg,10/27/1994,France,CHE
Marcos Alonso,D,26,2244,5,2,0,37,13,35.1,2,0,24,19,114,3,Defender,1.88 m,81 kg,12/28/1990,Spain,CHE
Michy Batshuayi,F,17,113,1,1,0,6,2,33.3,0,0,5,0,3,1,Forward,1.82 m,78 kg,10/2/1993,Belgium,CHE
Nathaniel Chalobah,MF,8,71,0,1,0,1,1,100,1,0,1,1,0,0,Midfielder,1.85 m,80 kg,12/12/1994,Sierra Leone,CHE
Nemanja Matic,MF,31,2337,0,6,0,13,5,38.5,4,0,31,18,17,1,Midfielder,1.94 m,84 kg,8/1/1988,Yugoslavia,CHE
N'Golo Kante,MF,31,2779,1,1,0,26,6,23.1,8,0,52,13,18,0,Midfielder,1.69 m,68 kg,3/29/1991,France,CHE
Ola Aina,D,2,9,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.75 m,65 kg,10/8/1996,England,CHE
Pedro,F,29,1874,7,7,0,48,16,33.3,6,0,26,33,75,7,Forward,1.67 m,62 kg,7/28/1987,Spain,CHE
Ruben Loftus-Cheek,MF,6,31,0,0,0,1,1,100,0,0,2,0,0,0,Midfielder,1.91 m,83 kg,1/23/1996,England,CHE
Thibaut Courtois,GK,31,2790,0,0,0,0,0,0,1,0,1,2,0,0,GoalKeeper,1.99 m,91 kg,6/20/1987,Belgium,CHE
Victor Moses,MF,29,2052,3,2,0,35,10,28.6,4,0,25,23,121,3,Midfielder,1.77 m,76 kg,12/12/1990,Nigeria,CHE
Willian,MF,28,1310,6,1,0,35,12,34.3,3,0,10,18,117,2,Midfielder,1.75 m,75 kg,8/9/1988,Brazil,CHE
