Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Andros Townsend,MF,31,2124,3,4,0,54,13,24.1,4,0,16,32,218,3,Midfielder,1.81 m,77 kg,7/16/1991,England,CRE
Bakary Sako,MF,6,107,0,0,0,2,1,50,0,0,2,4,11,1,Midfielder,1.84 m,90 kg,4/26/1988,France,CRE
Christian Benteke,F,30,2627,12,2,2,89,33,37.1,8,0,69,44,1,29,Forward,1.90 m,83 kg,12/3/1990,DR Congo,CRE
Chung-Young Lee,MF,14,434,0,1,0,4,2,50,0,0,5,9,17,0,Midfielder,1.80 m,69 kg,7/2/1988,South Korea,CRE
Connor Wickham,F,8,410,2,0,0,10,5,50,1,0,12,5,6,1,Forward,1.89 m,90 kg,3/31/1993,England,CRE
Damien Delaney,D,25,1859,0,2,0,2,0,0,7,0,24,11,13,0,Defender,1.91 m,89 kg,7/20/1981,Ireland,CRE
Fraizer Campbell,F,8,113,1,0,0,2,1,50,0,0,1,3,1,0,Forward,1.72 m,83 kg,9/13/1987,England,CRE
James McArthur,MF,24,1696,5,2,0,21,6,28.6,5,0,38,22,26,4,Midfielder,1.78 m,64 kg,10/7/1987,Scotland,CRE
James Tomkins,D,21,1710,3,0,0,13,4,30.8,4,0,10,10,9,0,Defender,1.92 m,74 kg,3/29/1989,England,CRE
Jason Puncheon,MF,30,2554,0,3,0,41,10,24.4,8,0,51,30,150,1,Midfielder,1.73 m,71 kg,6/26/1986,England,CRE
Jeff Schlupp,F,10,547,0,0,0,3,0,0,0,0,1,5,9,0,Forward,1.78 m,72 kg,12/23/1992,Germany,CRE
Joe Ledley,MF,18,1161,1,0,0,3,1,33.3,1,0,9,10,10,0,Midfielder,1.83 m,73 kg,1/23/1987,Wales,CRE
Joel Ward,D,32,2878,0,1,0,14,3,21.4,6,0,32,43,76,0,Defender,1.88 m,83 kg,10/29/1989,England,CRE
Jonathan Benteke,F,1,6,0,0,0,1,1,100,0,0,0,0,0,0,Forward,1.86 m,77 kg,4/28/1995,Belgium,CRE
Loic Remy,F,4,112,0,0,0,5,2,40,0,0,2,1,7,1,Forward,1.84 m,66 kg,1/2/1987,France,CRE
Luka Milivojevic,MF,8,710,1,0,1,6,1,16.7,1,0,15,9,3,0,Midfielder,1.82 m,75 kg,4/7/1991,Yugoslavia,CRE
Mamadou Sakho,D,7,630,0,0,0,3,0,0,0,0,1,3,3,0,Defender,1.87 m,80 kg,2/13/1990,France,CRE
Martin Kelly,D,23,1602,0,2,0,2,0,0,3,0,17,8,38,0,Defender,1.91 m,77 kg,4/27/1990,England,CRE
Mathieu Flamini,MF,9,246,0,0,0,0,0,-,0,0,1,0,2,0,Midfielder,1.78 m,67 kg,3/7/1984,France,CRE
Pape Souaré,D,3,269,0,0,0,2,0,0,0,0,1,4,18,0,Defender,1.78 m,68 kg,6/6/1990,Senegal,CRE
Patrick Van Aanholt,D,6,440,1,0,0,5,2,40,0,0,3,2,16,0,Defender,1.75 m,67 kg,8/29/1990,Netherlands,CRE
Scott Dann,D,23,1750,3,1,0,22,10,45.5,2,0,13,12,4,0,Defender,1.95 m,78 kg,2/14/1987,England,CRE
Steve Mandanda,GK,9,810,0,0,0,0,0,-,0,0,0,1,0,0,GoalKeeper,1.85 m,82 kg,3/28/1985,DR Congo,CRE
Wayne Hennessey,GK,23,2070,0,0,0,0,0,-,1,0,0,3,1,0,GoalKeeper,1.98 m,90 kg,1/24/1987,Wales,CRE
Wilfried Zaha,MF,29,2508,6,9,0,45,16,35.6,6,0,45,93,96,3,Midfielder,1.80 m,66 kg,11/10/1992,Ivory Coast,CRE
Yohan Cabaye,MF,29,1961,4,2,0,38,11,28.9,6,0,28,20,126,2,Midfielder,1.74 m,71 kg,1/14/1986,France,CRE
Zeki Fryers,D,8,182,0,1,0,0,0,-,0,0,4,1,10,0,Defender,1.61 m,80 kg,9/9/1992,England,CRE
