Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Abel Hernández,F,22,1293,4,3,0,34,15,44.1,0,0,16,11,2,11,Forward,1.86 m,70 kg,8/8/1990,Uruguay,HUL
Adama Diomande,F,22,1169,2,0,0,23,6,26.1,1,0,20,16,5,10,Forward,1.80 m,75 kg,2/14/1990,Norway,HUL
Ahmed Elmohamady,MF,28,2145,0,2,0,9,2,22.2,2,1,19,12,118,0,Midfielder,1.82 m,75 kg,9/9/1987,Egypt,HUL
Alfred N'Diaye,MF,10,840,1,0,0,7,3,42.9,4,0,22,6,5,1,Midfielder,1.87 m,82 kg,3/6/1990,France,HUL
Andrea Ranocchia,D,11,924,2,2,0,5,3,60,1,0,11,10,2,0,Defender,1.90 m,81 kg,2/16/1988,Italy,HUL
Andrew Robertson,D,28,2404,1,2,0,7,1,14.3,3,0,15,10,112,1,Defender,1.78 m,64 kg,3/11/1994,Scotland,HUL
Curtis Davies,D,24,2052,0,2,0,8,2,25,3,0,11,20,6,0,Defender,1.88 m,76 kg,3/15/1985,England,HUL
David Marshall,GK,15,1350,0,0,0,0,0,0,0,0,0,1,0,0,GoalKeeper,1.90 m,83 kg,3/5/1985,Scotland,HUL
David Meyler,MF,20,955,1,0,0,8,3,37.5,2,0,9,15,14,1,Midfielder,1.89 m,81 kg,5/29/1989,Ireland,HUL
Dieumerci Mbokani,F,11,750,0,1,0,15,4,26.7,0,0,14,24,3,12,Forward,1.85 m,75 kg,11/22/1985,DR Congo,HUL
Eldin Jakupovic,GK,18,1620,0,0,0,0,0,0,0,0,0,2,0,0,GoalKeeper,1.91 m,83 kg,10/2/1984,Yugoslavia,HUL
Evandro,MF,7,365,0,0,0,1,0,0,1,0,9,14,19,0,Midfielder,1.78 m,62 kg,8/23/1986,Brazil,HUL
Harry Maguire,D,25,1987,2,2,0,31,10,32.3,4,0,22,33,20,3,Forward,1.80 m,73 kg,12/6/1994,England,HUL
Jarrod Bowen,F,5,61,0,0,0,0,0,-,0,0,1,4,2,0,Forward,1.74 m,70 kg,12/20/1996,England,HUL
Josh Tymon,D,4,251,0,0,0,0,0,-,1,0,3,2,5,0,Defender,1.78 m,74 kg,5/22/1999,England,HUL
Kamil Grosicki,MF,10,749,0,3,0,23,5,21.7,0,0,6,5,80,4,Midfielder,1.80 m,78 kg,6/8/1988,Poland,HUL
Lazar Markovic,MF,9,776,1,0,0,7,3,42.9,3,0,13,14,18,2,Midfielder,1.75 m,65 kg,3/2/1994,Yugoslavia,HUL
Markus Henriksen,MF,14,615,0,0,0,3,0,0,1,0,15,10,12,0,Midfielder,1.87 m,85 kg,7/25/1992,Norway,HUL
Michael Dawson,D,18,1539,3,0,0,12,8,66.7,3,0,10,6,1,1,Defender,1.88 m,79 kg,11/18/1983,England,HUL
Omar Elabdellaoui,D,7,526,0,0,0,0,0,-,0,0,2,3,14,0,Defender,1.79 m,73 kg,12/5/1991,Norway,HUL
Oumar Niasse,F,12,710,4,0,0,17,8,47.1,3,0,11,11,10,8,Forward,1.82 m,82 kg,4/18/1990,Senegal,HUL
Ryan Mason,MF,16,927,1,0,0,17,4,23.5,4,0,10,17,24,0,Midfielder,1.75 m,68 kg,6/13/1991,England,HUL
Sam Clucas,MF,32,2738,1,1,0,29,3,10.3,7,1,16,21,57,1,Midfielder,1.78 m,74 kg,9/25/1990,England,HUL
Shaun Maloney,MF,8,234,1,2,0,3,1,33.3,0,0,2,7,13,0,Midfielder,1.70 m,70 kg,1/24/1983,Malaysia,HUL
Tom Huddlestone,MF,27,1894,1,0,1,20,7,35,5,1,31,15,23,1,Midfielder,1.88 m,71 kg,12/28/1986,England,HUL
Will Keane,F,5,282,0,0,0,4,0,0,0,0,4,2,3,2,Forward,1.87 m,72 kg,1/11/1993,England,HUL
