Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Ahmed Musa,F,20,741,2,0,0,17,6,35.3,1,0,13,12,35,1,Forward,1.76 m,65 kg,10/14/1992,Nigeria,LEI
Andy King,MF,19,1255,1,0,0,14,7,50,4,0,17,14,13,1,Midfielder,1.83 m,74 kg,10/29/1988,England,LEI
Ben Chilwell,D,9,426,0,0,0,4,1,25,1,0,4,5,13,0,Defender,1.78 m,71 kg,12/21/1996,England,LEI
Christian Fuchs,D,30,2563,2,4,0,18,6,33.3,8,0,26,8,180,0,Defender,1.86 m,80 kg,4/7/1986,Austria,LEI
Daniel Amartey,MF,21,1523,1,1,0,12,4,33.3,3,0,25,9,3,0,Midfielder,1.83 m,78 kg,12/1/1994,Ghana,LEI
Daniel Drinkwater,MF,26,2220,1,1,0,29,3,10.3,5,0,39,9,40,1,Midfielder,1.77 m,70 kg,3/5/1990,England,LEI
Danny Simpson,D,29,2450,0,2,0,2,0,0,9,0,27,11,30,1,Defender,1.77 m,78 kg,1/4/1987,England,LEI
Demarai Gray,MF,25,974,1,3,0,27,8,29.6,1,0,11,14,79,2,Midfielder,1.79 m,66 kg,6/28/1996,England,LEI
Islam Slimani,F,19,1100,7,3,1,29,12,41.4,1,0,23,14,6,9,Forward,1.88 m,79 kg,6/18/1988,Algeria,LEI
Jamie Vardy,F,29,2280,11,4,0,43,17,39.5,2,1,23,22,53,15,Forward,1.78 m,76 kg,1/11/1987,England,LEI
Kasper Schmeichel,GK,24,2127,0,0,0,0,0,0,1,0,0,2,0,0,GoalKeeper,1.85 m,76 kg,11/5/1986,Denmark,LEI
Leonardo Ulloa,F,14,342,1,0,0,11,5,45.5,0,0,17,4,5,2,Forward,1.85 m,75 kg,7/26/1986,Argentina,LEI
Marc Albrighton,MF,27,1910,1,5,0,15,4,26.7,3,0,17,14,195,1,Midfielder,1.74 m,67 kg,11/18/1989,England,LEI
Marcin Wasilewski,D,1,90,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.86 m,88 kg,6/9/1980,Poland,LEI
Nampalys Mendy,MF,4,271,0,0,0,0,0,-,1,0,4,8,3,0,Midfielder,1.68 m,68 kg,6/23/1992,France,LEI
Onyinye Ndidi,MF,11,982,1,1,0,19,4,21.1,0,0,14,6,3,0,Midfielder,1.86 m,81 kg,12/16/1996,Nigeria,LEI
Riyad Mahrez,MF,30,2316,5,3,3,61,25,41,3,0,22,49,148,6,Midfielder,1.79 m,62 kg,2/21/1991,France,LEI
Robert Huth,D,30,2659,2,2,0,24,8,33.3,8,0,42,15,2,0,Defender,1.91 m,88 kg,8/18/1984,Germany,LEI
Ron-Robert Zieler,GK,9,753,0,0,0,0,0,0,0,0,1,0,0,0,GoalKeeper,1.87 m,73 kg,2/12/1989,Germany,LEI
Shinji Okazaki,F,25,1304,2,0,0,26,8,30.8,1,0,26,35,8,3,Forward,1.74 m,70 kg,4/16/1986,Japan,LEI
Wes Morgan,D,27,2430,1,0,0,14,3,21.4,3,0,20,7,1,1,Defender,1.85 m,93 kg,1/21/1984,England,LEI
Yohan Benalouane,D,5,436,0,0,0,2,1,50,0,0,6,2,0,0,Defender,1.85 m,79 kg,3/28/1987,France,LEI
