Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Adam Lallana,MF,27,2072,7,7,0,43,14,32.6,3,0,17,28,60,11,Midfielder,1.72 m,73 kg,5/10/1988,England,LIV
Alberto Moreno,D,10,286,0,1,0,3,0,0,1,0,2,6,14,0,Defender,1.71 m,65 kg,7/5/1992,Spain,LIV
Ben Woodburn,F,4,81,0,0,0,2,0,0,0,0,2,1,5,0,Forward,1.74 m,72 kg,10/15/1999,England,LIV
Daniel Sturridge,F,16,573,2,1,0,28,16,57.1,1,0,4,5,16,5,Forward,1.88 m,76 kg,9/1/1989,England,LIV
Dejan Lovren,D,24,2115,2,1,0,15,4,26.7,5,0,22,18,10,1,Defender,1.88 m,84 kg,7/5/1989,Yugoslavia,LIV
Divock Origi,F,29,1118,6,4,0,29,10,34.5,0,0,16,27,41,13,Forward,1.85 m,75 kg,4/18/1995,Belgium,LIV
Emre Can,MF,27,1918,4,2,0,35,7,20,6,0,60,25,33,2,Midfielder,1.84 m,82 kg,1/12/1994,Germany,LIV
Georginio Wijnaldum,MF,31,2528,5,6,0,50,19,38,2,0,17,27,16,3,Midfielder,1.75 m,74 kg,11/11/1990,Netherlands,LIV
James Milner,MF,31,2721,7,3,7,29,15,51.7,5,0,30,23,260,1,Midfielder,1.76 m,70 kg,1/4/1986,England,LIV
Joel Matip,D,24,2006,1,0,0,21,3,14.3,3,0,11,9,8,0,Defender,1.95 m,90 kg,8/8/1991,Germany,LIV
Jordan Henderson,MF,24,2118,1,4,0,17,4,23.5,8,0,28,16,94,0,Midfielder,1.82 m,67 kg,6/17/1990,England,LIV
Kevin Stewart,MF,4,18,0,0,0,0,0,-,0,0,1,0,0,0,Midfielder,1.71 m,73 kg,9/7/1993,England,LIV
Lois Karius,GK,10,900,0,0,0,0,0,0,0,0,0,1,0,0,GoalKeeper,1.89 m,75 kg,3/6/1988,Belgium,LIV
Lucas Leiva,MF,19,842,0,2,0,7,1,14.3,3,0,13,10,5,0,Midfielder,1.79 m,73 kg,1/9/1987,Brazil,LIV
Marko Grujic,MF,2,28,0,0,0,2,1,50,0,0,1,1,0,0,Midfielder,1.92 m,82 kg,4/13/1996,Serbia-Montenegro,LIV
Nathaniel Clyne,D,32,2880,0,2,0,23,4,17.4,0,0,13,18,99,1,Defender,1.75 m,67 kg,4/5/1991,England,LIV
Ovie Ejaria,MF,2,6,0,0,0,0,0,-,0,0,0,0,0,0,Midfielder,1.84 m,,11/18/1997,England,LIV
Philippe Coutinho,MF,26,1872,9,6,0,85,30,35.3,2,0,17,34,129,4,Midfielder,1.71 m,68 kg,6/12/1992,Brazil,LIV
Ragnar Klavan,D,19,1405,0,0,0,4,2,50,3,0,15,8,2,0,Defender,1.87 m,85 kg,10/30/1985,USSR,LIV
Roberto Firmino,F,31,2719,11,6,0,92,42,45.7,5,0,45,28,74,18,Forward,1.81 m,76 kg,10/2/1991,Brazil,LIV
Sadio Mane,F,27,2240,13,5,0,57,25,43.9,4,0,32,55,65,13,Forward,1.75 m,69 kg,4/10/1992,Senegal,LIV
Simon Mignolet,GK,23,2070,0,0,0,0,0,0,0,0,0,5,0,0,GoalKeeper,1.93 m, 87 kg ,6/22/1993,Germany,LIV
Trent Alexander-Arnold,D,6,154,0,0,0,3,2,66.7,0,0,1,2,4,0,Defender,1.78 m,68 kg,10/7/1998,England,LIV
