Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Aleix Garcia,MF,3,26,0,0,0,0,0,-,0,0,0,4,0,0,Midfielder,1.85 m,74 kg,6/28/1997,Spain,MCI
Aleksandar Kolarov,D,26,2263,1,1,0,25,8,32,6,0,33,34,32,0,Defender,1.87 m,83 kg,11/10/1985,Yugoslavia,MCI
Bacary Sagna,D,16,1318,0,1,0,4,0,0,2,0,3,8,29,1,Defender,1.76 m,72 kg,2/14/1983,France,MCI
Claudio Bravo,GK,21,1890,0,0,0,0,0,0,0,0,0,3,0,0,GoalKeeper,1.84 m,80 kg,4/13/1983,Chile ,MCI
David Silva,MF,30,2456,2,7,0,43,15,34.9,5,0,27,48,147,6,Midfielder,1.70 m,67 kg,1/8/1986,Spain,MCI
Fabian Delph,MF,7,220,1,0,0,6,2,33.3,1,0,6,5,2,0,Midfielder,1.74 m,60 kg,11/21/1989,England,MCI
Fernandinho,MF,26,2214,1,1,0,28,8,28.6,4,2,41,30,31,1,Midfielder,1.79 m,67 kg,5/4/1985,Brazil,MCI
Fernando,MF,14,551,0,0,0,2,0,0,3,0,11,7,0,0,Midfielder,1.83 m,74 kg,7/25/1987,Brazil,MCI
Gabriel Jesus,F,4,203,3,1,0,8,4,50,1,0,3,5,5,4,Forward,1.75 m,73 kg,4/3/1997,Brazil,MCI
Gael Clichy,D,21,1805,1,0,0,1,1,100,2,0,8,8,29,1,Defender,1.81 m,72 kg,7/26/1985,France,MCI
Ilkay Gundogan,MF,10,709,3,1,0,17,4,23.5,0,0,2,9,7,0,Midfielder,1.80 m,80 kg,10/24/1990,Germany,MCI
Jesús Navas,MF,19,924,0,0,0,7,1,14.3,2,0,7,10,90,3,Midfielder,1.72 m,60 kg,11/21/1985,Spain,MCI
John Stones,D,26,2000,0,0,0,12,2,16.7,1,0,9,9,1,0,Defender,1.88 m,70 kg,5/28/1994,England,MCI
Kelechi Iheanacho,F,18,501,4,3,0,22,7,31.8,0,0,7,2,7,6,Forward,1.87 m,77 kg,10/3/1996,Nigeria,MCI
Kevin De Bruyne,MF,30,2351,4,13,0,70,14,20,4,0,31,34,280,2,Midfielder,1.81 m,68 kg,6/28/1991,Belgium,MCI
Leroy Sane,MF,20,1339,5,1,0,20,10,50,2,0,12,10,47,10,Midfielder,1.83 m,75 kg,1/11/1996,Germany,MCI
Nicolás Otamendi,D,24,2052,0,1,0,9,1,11.1,8,0,24,25,7,1,Defender,1.84 m,80 kg,2/12/1988,Argentina,MCI
Nolito,F,18,777,4,2,0,31,11,35.5,3,1,17,9,27,4,Forward,1.75 m,73 kg,10/15/1986,Spain,MCI
Pablo Zabaleta,D,16,911,1,0,0,6,1,16.7,2,0,11,14,12,5,Defender,1.74 m,74 kg,1/16/1985,Argentina,MCI
Raheem Sterling,MF,29,2221,6,6,0,53,20,37.7,6,0,29,50,112,14,Midfielder,1.70 m,69 kg,12/8/1994,Jamaica,MCI
Sergio Agüero,F,26,2051,17,0,3,114,45,39.5,3,1,20,29,26,22,Forward,1.72 m,69 kg,6/2/1988,Argentina,MCI
Vincent Kompany,D,5,296,1,0,0,2,1,50,2,0,12,2,0,0,Defender,1.90 m,85 kg,4/10/1986,Belgium,MCI
Willy Cabarello,GK,11,990,0,0,0,0,0,0,0,0,0,1,0,0,GoalKeeper,1.86 m,80 kg,9/28/1981,Argentina,MCI
Yaya Touré,MF,20,1533,4,0,2,28,13,46.4,4,0,21,5,9,0,Midfielder,1.89 m,90 kg,5/13/1983,Ivory Coast,MCI
