Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Ander Herrera,MF,25,2087,1,5,0,36,5,13.9,5,1,44,42,55,0,Midfielder,1.82 m,73 kg,8/14/1989,Spain,MUN
Anthony Martial,F,18,994,3,4,0,31,13,41.9,1,0,18,16,64,3,Forward,1.81 m,76 kg,12/5/1995,France,MUN
Antonio Valencia,MF,26,2312,1,3,0,8,3,37.5,5,0,31,19,154,6,Midfielder,1.80 m,78 kg,8/4/1985,Ecuador,MUN
Ashley Young,MF,9,575,0,1,0,4,0,0,2,0,4,12,33,1,Midfielder,1.75 m,65 kg,7/9/1985,England,MUN
Chris Smalling,D,15,945,1,1,0,7,1,14.3,0,0,7,6,1,1,Defender,1.94 m,90 kg,11/22/1989,England,MUN
Daley Blind,D,19,1469,1,2,0,9,2,22.2,2,0,14,12,93,0,Defender,1.80 m,72 kg,3/9/1990,Netherlands,MUN
David De Gea,GK,30,2700,0,0,0,0,0,0,2,0,0,2,0,0,GoalKeeper,1.90 m,82 kg,11/7/1990,Spain,MUN
Eric Bailly,D,19,1549,0,0,0,5,0,0,3,0,19,15,3,0,Defender,1.87 m,77 kg,4/12/1994,Ivory Coast,MUN
Henrikh Mkhitaryan,MF,18,1064,4,1,0,29,15,51.7,1,0,17,18,56,7,Midfielder,1.77 m,75 kg,1/21/1989,USSR,MUN
Jesse Lingard,MF,19,1061,1,2,0,32,11,34.4,2,0,19,13,33,5,Midfielder,1.75 m,58 kg,12/15/1992,England,MUN
Juan Mata,MF,22,1395,6,3,0,36,21,58.3,3,0,8,14,99,8,Midfielder,1.71 m,61 kg,4/28/1988,Spain,MUN
Luke Shaw,D,10,683,0,1,0,5,1,20,1,0,7,6,23,0,Defender,1.84 m,75 kg,7/12/1995,England,MUN
Marcos Rojo,D,21,1660,1,0,0,14,4,28.6,5,0,23,10,14,0,Defender,1.86 m,82 kg,3/20/1990,Argentina,MUN
Marcus Rashford,F,26,1443,5,1,0,42,17,40.5,3,0,9,26,79,6,Forward,1.80 m,70 kg,10/31/1997,England,MUN
Marouane Fellaini,MF,25,1350,1,0,0,21,6,28.6,8,0,36,17,7,3,Midfielder,1.94 m,85 kg,11/22/1987,Belgium,MUN
Matteo Darmian,D,13,944,0,0,0,2,0,0,3,0,13,12,22,1,Defender,1.82 m,70 kg,12/2/1989,Italy,MUN
Michael Carrick,MF,16,1167,0,0,0,7,0,0,1,0,4,16,11,0,Midfielder,1.86 m,74 kg,7/28/1981,England,MUN
Paul Pogba,MF,28,2474,4,3,0,89,30,33.7,7,0,59,65,60,3,Midfielder,1.91 m,84 kg,3/15/1993,France,MUN
Phil Jones,D,14,1225,0,0,0,4,1,25,1,0,8,10,1,0,Defender,1.85 m,71 kg,2/21/1992,England,MUN
Sergio Romero,GK,1,90,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,1.92 m,87 kg,2/22/1987,Argentina,MUN
Timothy Fosu-Mensah,D,2,2,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.90 m,79 kg,1/2/1998,Netherlands,MUN
Wayne Rooney,F,19,1011,2,5,0,30,11,36.7,6,0,15,7,100,6,Forward,1.76 m,78 kg,10/24/1985,England,MUN
Zlatan Ibrahimovich,F,28,2437,17,5,2,116,45,38.8,7,0,54,19,37,37,Forward,1.95 m,95 kg,10/3/1981,Sweden,MUN
