Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Adam Clayton,MF,28,2266,0,1,0,10,1,10,8,0,40,38,36,0,Midfielder,1.75 m,75 kg,1/14/1989,England,MID
Adam Forshaw,MF,28,2247,0,1,0,23,4,17.4,3,0,26,26,46,1,Midfielder,1.85 m,71 kg,10/8/1991,England,MID
Adama Traoré,MF,25,1461,0,1,0,11,2,18.2,1,0,18,40,88,1,Midfielder,1.78 m,76 kg,1/25/1996,Spain,MID
Adlene Guedioura,MF,5,135,0,0,0,6,1,16.7,0,0,2,1,10,0,Midfielder,1.78 m,81 kg,11/12/1985,France,MID
Álvaro Negredo,F,30,2449,8,4,2,61,21,34.4,5,0,41,30,10,15,Forward,1.85 m,82 kg,8/20/1985,Spain,MID
Antonio Barragán,D,25,2173,0,0,0,3,0,0,5,0,26,20,84,1,Defender,1.83 m,76 kg,6/12/1987,Spain,MID
Ben Gibson,D,32,2880,1,1,0,14,6,42.9,3,0,16,15,6,0,Defender,1.85 m,78 kg,1/15/1993,England,MID
Bernardo Espinosa,D,11,975,0,0,0,2,1,50,2,0,17,7,3,1,Defender,1.92 m,84 kg,7/11/1989,Colombia,MID
Brad Guzan,GK,4,360,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,1.93 m,95 kg,9/9/1984,USA,MID
Calum Chambers,D,18,1620,0,1,0,2,0,0,4,0,17,7,21,1,Defender,1.82 m,66 kg,1/20/1995,England,MID
Cristhian Stuani,F,21,1198,4,0,0,21,10,47.6,3,0,20,26,26,4,Forward,1.84 m,72 kg,10/12/1986,Uruguay,MID
Daniel Ayala,D,11,756,1,0,0,9,4,44.4,2,0,12,2,6,1,Defender,1.90 m,84 kg,11/7/1990,Spain,MID
Fabio,D,18,1418,0,0,0,5,2,40,5,0,22,18,62,3,Defender,1.72 m,65 kg,7/9/1990,Brazil,MID
Gastón Ramírez,MF,23,1529,2,3,0,32,9,28.1,8,0,34,28,101,1,Midfielder,1.83 m,77 kg,12/2/1990,Uruguay,MID
George Friend,D,18,1420,0,1,0,11,1,9.1,2,0,17,20,40,0,Defender,1.88 m,83 kg,10/17/1987,England,MID
Grant Leadbitter,MF,10,553,1,0,0,11,2,18.2,1,0,6,5,20,0,Midfielder,1.77 m,79 kg,1/7/1986,England,MID
James Husband,D,1,59,0,0,0,0,0,-,0,0,0,0,0,0,Defender,1.79 m,65 kg,1/3/1994,England,MID
Marten De Roon,MF,28,2379,3,0,0,21,4,19,6,0,54,16,27,2,Midfielder,1.85 m,76 kg,3/29/1991,Netherlands,MID
Patrick Bamford,F,5,68,0,0,0,0,0,-,0,0,1,2,3,0,Forward,1.85 m,71 kg,9/5/1993,England,MID
Rudy Gestede,F,11,413,1,0,0,12,4,33.3,2,0,6,6,3,3,Forward,1.93 m,86 kg,10/10/1988,France,MID
Stewart Downing,MF,24,1702,1,3,0,23,3,13,1,0,7,12,143,4,Midfielder,1.80 m,64 kg,7/22/1984,England,MID
Victor  Valdés,GK,28,2520,0,0,0,0,0,0,1,0,0,4,0,0,GoalKeeper,1.88 m,78 kg,1/14/1982,Spain,MID
Viktor Fischer,MF,12,408,0,2,0,11,2,18.2,0,0,1,7,14,3,Midfielder,1.80 m,71 kg,6/9/1994,Denmark,MID
