Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Cedric,D,24,2001,0,2,0,18,5,27.8,5,0,21,14,122,1,Defender,1.72 m,67 kg,8/31/1991,Germany,SOU
Charlie Austin,F,13,872,6,1,2,37,17,45.9,1,0,14,19,9,7,Forward,1.88 m,84 kg,7/5/1989,England,SOU
Cuco Martina,D,9,591,0,0,0,1,0,0,0,0,4,5,35,1,Defender,1.85 m,77 kg,9/25/1989,Netherlands,SOU
Dusan Tadic,MF,27,1921,3,5,1,56,18,32.1,3,0,27,30,173,7,Midfielder,1.81 m,76 kg,11/20/1988,Yugoslavia,SOU
Fraser Forster,GK,31,2790,0,0,0,0,0,0,3,0,0,0,0,0,GoalKeeper,2.01 m,93 kg,3/17/1988,England,SOU
Harrison Reed,MF,3,62,0,0,0,0,0,-,0,0,1,0,0,0,Midfielder,1.81 m,72 kg,1/27/1995,England,SOU
Jack Stephens,D,11,929,0,1,0,2,0,0,0,0,12,3,5,1,Defender,1.85 m,84 kg,1/27/1994,England,SOU
James Ward-Prowse,MF,25,1478,4,4,0,35,16,45.7,2,0,21,16,131,1,Midfielder,1.73 m,66 kg,11/1/1994,England,SOU
Jay Rodríguez,F,19,746,4,1,0,30,15,50,0,0,13,7,9,9,Forward,1.85 m,80 kg,7/29/1989,England,SOU
Jérémy Pied,D,1,11,0,0,0,3,0,0,0,0,1,0,1,0,Defender,1.73 m,69 kg,2/23/1989,France,SOU
Jordy Clasie,MF,15,937,1,1,0,10,3,30,3,0,13,5,10,0,Midfielder,1.69 m,66 kg,6/27/1991,Netherlands,SOU
Josh Sims,MF,6,174,0,1,0,5,3,60,0,0,1,3,11,0,Midfielder,1.74 m,67 kg,3/28/1997,England,SOU
Manolo Gabbiadini,F,5,340,4,0,0,17,6,35.3,1,0,4,6,2,4,Forward,1.81 m,72 kg,11/26/1991,Italy,SOU
Matt Targett,D,4,284,0,0,0,1,0,0,0,0,2,4,17,0,Defender,1.83 m,70 kg,9/18/1995,England,SOU
Maya Yoshida,D,16,1440,1,0,0,9,4,44.4,2,0,13,15,6,1,Defender,1.89 m,78 kg,8/24/1988,Japan,SOU
Nathan Redmond,MF,30,2473,6,1,0,71,25,35.2,2,1,34,37,68,12,Midfielder,1.73 m,69 kg,3/6/1994,England,SOU
Oriol Romeu,MF,28,2441,0,0,0,20,3,15,9,0,52,31,2,1,Midfielder,1.83 m,83 kg,9/24/1991,Spain,SOU
Pierre-Emile Hojbjerg,MF,21,1226,0,0,0,28,4,14.3,2,0,17,30,20,0,Midfielder,1.85 m,84 kg,8/5/1995,Denmark,SOU
Ryan Bertrand,D,22,1968,1,4,0,13,5,38.5,2,0,22,29,99,2,Defender,1.79 m,85 kg,8/5/1989,England,SOU
Sam McQueen,D,13,608,0,0,0,1,0,0,0,0,3,3,38,0,Defender,1.81 m,70 kg,2/6/1995,England,SOU
Shane Long,F,27,1080,3,0,0,39,15,38.5,2,0,24,26,25,12,Forward,1.78 m,70 kg,1/22/1987,Ireland,SOU
Sofiane Boufal,MF,17,812,1,0,0,18,5,27.8,4,0,18,14,32,1,Midfielder,1.70 m,60 kg,9/17/1993,France,SOU
Steven Davis,MF,25,2088,0,3,0,23,4,17.4,3,0,14,11,59,1,Midfielder,1.73 m,70 kg,1/1/1985,Ireland,SOU
Virgil Van Dijk,D,21,1854,1,0,0,18,5,27.8,3,1,18,17,1,0,Defender,1.93 m,92 kg,7/8/1991,Netherlands,SOU
