Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Bruno Martins Indi,D,30,2697,1,0,0,14,6,42.9,4,0,19,8,4,1,Defender,1.85 m,74 kg,2/8/1992,Portugal,STK
Charlie Adam,MF,23,1485,1,3,1,39,11,28.2,7,0,41,25,113,0,Midfielder,1.85 m,83 kg,12/10/1985,Scotland,STK
Erik Pieters,D,32,2880,0,1,0,7,0,0,4,0,54,55,102,1,Defender,1.83 m,83 kg,8/7/1988,Netherlands,STK
Geoff Cameron,D,14,1178,0,0,0,7,4,57.1,1,0,11,16,15,1,Defender,1.90 m,84 kg,7/11/1985,USA,STK
Giannelli Imbula,MF,12,796,0,0,0,9,0,0,1,0,3,12,8,0,Midfielder,1.83 m,77 kg,9/12/1992,Belgium,STK
Glen Johnson,D,19,1595,0,0,0,8,3,37.5,1,0,9,16,27,0,Defender,1.81 m,85 kg,8/23/1984,England,STK
Glenn Whelan,MF,26,1927,0,1,0,5,2,40,4,0,14,20,32,0,Midfielder,1.80 m,79 kg,1/13/1984,Ireland,STK
Ibrahim Afellay,MF,12,377,0,0,0,6,1,16.7,0,0,3,7,18,2,Midfielder,1.81 m,68 kg,4/2/1986,Netherlands,STK
Joe Allen,MF,31,2536,6,2,0,34,16,47.1,8,0,26,56,62,0,Midfielder,1.70 m,62 kg,3/14/1990,Wales,STK
Jonathan Walters,F,21,1263,4,2,1,24,12,50,1,0,12,21,33,11,Forward,1.83 m,79 kg,9/20/1983,England,STK
Julien Ngoy,F,5,44,0,0,0,2,0,0,0,0,0,1,3,0,Forward,1.85 m,64 kg,11/2/1997,Belgium,STK
Lee Grant,GK,28,2520,0,0,0,0,0,0,1,0,0,2,0,0,GoalKeeper,1.93 m ,83 kg,1/27/1983,England,STK
Mame Diouf,F,23,1168,0,2,0,13,1,7.7,3,0,21,21,31,8,Forward,1.85 m,76 kg,12/16/1987,Senegal,STK
Marc Muniesa,D,7,467,1,0,0,2,2,100,1,0,4,4,3,0,Defender,1.79 m,72 kg,3/27/1992,Spain,STK
Marko Arnautovic,F,28,2380,6,4,0,53,17,32.1,9,1,36,30,128,28,Forward,1.93 m,83 kg,4/19/1989,Austria,STK
Peter Crouch,F,23,1105,5,2,0,30,12,40,1,0,20,17,1,6,Forward,2.01 m,75 kg,1/30/1981,England,STK
Phil Bardsley,D,15,1170,0,0,0,11,2,18.2,4,1,25,16,40,0,Defender,1.80 m,78 kg,6/28/1985,England,STK
Ramadan Sobhi,F,14,736,0,1,0,4,1,25,1,0,9,9,7,3,Forward,1.83 m,72 kg,1/27/1997,Egypt,STK
Ryan Shawcross,D,30,2700,1,1,0,18,6,33.3,6,0,30,22,5,1,Defender,1.91 m,76 kg,10/4/1987,England,STK
Saido Berahino,F,10,525,0,0,0,8,4,50,0,0,5,1,2,6,Forward,1.80 m,82 kg,8/4/1993,Burundi,STK
Shay Given,GK,5,0,0,0,0,0,0,0,1,0,0,1,0,0,GoalKeeper,1.85 m,84 kg,4/20/1976,Ireland,STK
Wilfried Bony,F,10,690,2,0,0,21,5,23.8,1,0,11,12,2,2,Forward,1.82 m,88 kg,12/10/1988,Ivory Coast,STK
Xherdan Shaqiri,MF,16,1258,4,2,0,34,9,26.5,1,0,12,16,112,4,Midfielder,1.69 m,72 kg,10/10/1991,Yugoslavia,STK
