Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Adnan Januzaj,MF,22,1546,0,3,0,25,7,28,3,1,25,34,68,3,Midfielder,1.80 m,75 kg,2/5/1995,Belgium,SUND
Billy Jones,D,22,1820,0,0,0,9,3,33.3,6,0,19,11,44,0,Defender,1.82 m,79 kg,3/24/1987,England,SUND
Bryan Oviedo,D,8,669,0,0,0,3,1,33.3,1,0,10,10,28,0,Defender,1.72 m,70 kg,2/18/1990,Costa Rica,SUND
Darron Gibson,MF,8,502,0,0,0,5,0,0,2,0,9,0,13,0,Midfielder,1.83 m,83 kg,10/25/1987,Ireland,SUND
Didier Ndong,MF,26,2071,1,0,0,11,3,27.3,5,0,35,24,39,3,Midfielder,1.79 m,75 kg,6/17/1994,Gabon,SUND
Donald Love,D,11,517,0,1,0,1,0,0,1,0,7,4,21,0,Defender,1.78 m,72 kg,12/2/1994,England,SUND
Duncan Watmore,F,14,1028,0,2,0,16,4,25,1,0,10,21,30,4,Forward,1.75 m,72 kg,3/8/1994,England,SUND
Fabio Borini,F,18,1265,2,0,0,26,11,42.3,3,0,21,26,29,0,Forward,1.80 m,74 kg,3/29/1991,Italy,SUND
George Honeyman,MF,3,119,0,0,0,0,0,-,1,0,1,3,3,0,Midfielder,1.73 m,72 kg,9/8/1994,England,SUND
Jack Rodwell,MF,18,1397,0,1,0,19,4,21.1,4,0,20,12,7,1,Midfielder,1.88 m,70 kg,3/11/1991,England,SUND
Jan Kirchhoff,MF,7,436,0,0,0,3,0,0,1,0,8,1,2,0,Midfielder,1.95 m,90 kg,10/1/1990,Germany,SUND
Jason Denayer,D,21,1678,0,0,0,6,2,33.3,2,0,16,8,10,0,Defender,1.84 m,70 kg,6/28/1995,Belgium,SUND
Javi Manquillo,D,14,896,0,0,0,2,0,0,2,0,10,9,27,0,Defender,1.80 m,72 kg,5/5/1994,Spain,SUND
Jermain Defoe,F,32,2872,14,2,5,83,25,30.1,1,0,22,25,29,28,Forward,1.70 m,65 kg,10/7/1982,England,SUND
Joel Asoro,F,1,9,0,0,0,0,0,-,0,0,0,0,0,0,Forward,1.76 m,70 kg,4/27/1999,Sweden,SUND
John O'Shea,D,22,1620,0,0,0,1,1,100,3,0,12,8,2,0,Defender,1.91 m,75 kg,4/30/1981,Ireland,SUND
Joleon Lescott,D,1,33,0,0,0,0,0,-,0,0,0,1,0,0,Defender,1.88 m,83 kg,8/16/1982,England,SUND
Jordan Pickford,GK,23,2070,0,0,0,0,0,0,0,0,0,5,0,0,GoalKeeper,1.85m,77 kg,3/7/1994,England,SUND
Lamine Koné,D,26,2185,1,0,0,16,6,37.5,4,0,14,9,7,2,Defender,1.89 m,90 kg,2/1/1989,France,SUND
Lee Cattermole,MF,5,391,0,0,0,1,1,100,3,0,6,6,2,0,Midfielder,1.78 m,76 kg,3/21/1988,England,SUND
Lynden Gooch,MF,9,323,0,0,0,3,0,0,3,0,8,4,10,0,Midfielder,1.73 m,69 kg,12/24/1995,California,SUND
Paddy McNair,MF,9,354,0,0,0,2,0,0,0,0,6,3,7,0,Midfielder,1.83 m,71 kg,4/27/1995,Ireland,SUND
Papy Djilobodji,D,18,1577,0,0,0,7,2,28.6,4,1,22,16,7,3,Defender,1.93 m,82 kg,12/1/1988,Senegal,SUND
Sebastian Larsson,MF,17,1190,0,0,0,13,2,15.4,3,1,26,6,72,0,Midfielder,1.78 m,70 kg,6/6/1985,Sweden,SUND
Steven Pienaar,MF,14,753,0,0,0,4,2,50,4,1,14,26,9,0,Midfielder,1.70 m,71 kg,3/17/1982,South Africa,SUND
Victor Anichebe,F,14,909,3,0,0,25,8,32,1,0,19,23,31,4,Forward,1.85 m,80 kg,4/23/1988,Nigeria,SUND
Vito Mannone,GK,9,810,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,1.88 m,80 kg,3/2/1988,Italy,SUND
Wahbi Khazri,MF,18,618,1,0,0,15,6,40,4,0,15,16,54,5,Midfielder,1.82 m,76 kg,2/8/1991,France,SUND
