Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Alfie Mawson,D,22,1980,4,0,0,17,4,23.5,1,0,10,15,1,0,Defender,1.82 m,81 kg,1/19/1994,England,SWA
Ángel Rangel,D,18,823,1,0,0,5,3,60,1,0,10,8,15,1,Defender,1.86 m,85 kg,10/28/1982,Spain,SWA
Borja Bastón,F,16,539,1,0,0,16,4,25,0,0,4,8,6,4,Forward,1.91 m,82 kg,8/25/1992,Spain,SWA
Fede Fernández,D,22,1980,0,2,0,12,1,8.3,5,0,21,13,5,0,Defender,1.90 m,83 kg,2/21/1989,Argentina,SWA
Fernando Llorente,F,28,2038,11,0,0,41,20,48.8,2,0,45,25,12,11,Forward,1.93 m,88 kg,2/26/1985,Spain,SWA
Gylfi Sigurdsson,MF,33,2878,8,11,3,106,46,43.4,2,0,17,28,274,1,Midfielder,1.86 m,77 kg,9/8/1989,Iceland,SWA
Jack Cork,MF,28,2203,0,0,0,18,5,27.8,7,0,24,29,24,1,Midfielder,1.85 m,69 kg,6/25/1989,England,SWA
Jay Fulton,MF,11,692,0,0,0,4,0,0,2,0,10,11,7,1,Midfielder,1.78 m,68 kg,4/4/1994,England,SWA
Jefferson Montero,MF,12,368,0,1,0,4,1,25,0,0,1,9,40,2,Midfielder,1.73 m,70 kg,9/1/1989,Ecuador,SWA
Jordan Ayew,F,9,414,0,1,0,5,2,40,1,0,12,9,11,2,Forward,1.82 m,81 kg,11/9/1991,France,SWA
Jordi Amat,D,17,1408,0,0,0,7,3,42.9,5,0,26,5,0,0,Defender,1.84 m,78 kg,3/21/1992,Spain,SWA
Kyle Naughton,D,26,2268,0,0,0,19,4,21.1,4,0,23,17,85,0,Defender,1.80 m,73 kg,11/11/1988,England,SWA
Leon Britton,MF,11,810,0,0,0,0,0,-,2,0,4,6,3,0,Midfielder,1.68 m,64 kg,9/16/1982,England,SWA
Leroy Fer,MF,29,2235,6,2,0,33,10,30.3,9,0,45,47,17,1,Midfielder,1.88 m,79 kg,1/5/1990,Netherlands,SWA
Luciano Narsingh,F,11,385,0,2,0,2,0,0,0,0,3,9,22,1,Forward,1.68 m,69 kg,9/13/1990,Netherlands,SWA
Lukaz Fabianski ,GK,33,2970,0,0,0,0,0,0,1,0,0,3,1,0,GoalKeeper,1.90 m,83 kg,4/18/1985,Poland,SWA
Martin Olsson,D,11,965,2,0,0,7,4,57.1,2,0,10,20,47,0,Defender,1.78 m,82 kg,5/17/1988,Sweden,SWA
Mike Van der Hoorn,D,7,630,1,1,0,4,2,50,1,0,12,8,0,0,Defender,1.90 m,81 kg,10/15/1992,Netherlands,SWA
Nathan Dyer,MF,8,211,0,1,0,3,1,33.3,0,0,4,6,6,0,Midfielder,1.65 m,57 kg,11/29/1987,England,SWA
Oliver McBurnie,F,5,77,0,0,0,2,1,50,0,0,1,0,2,0,Forward,1.88 m,66 kg,4/6/1996,England,SWA
Stephen Kingsley,D,10,855,0,0,0,4,1,25,0,0,3,6,44,0,Defender,1.78 m,68 kg,7/23/1994,Scotland,SWA
Sung-Yueng Ki,MF,18,1005,0,0,0,6,1,16.7,3,0,17,14,12,1,Midfielder,1.86 m,75 kg,1/24/1989,South Korea,SWA
Tom Carroll,MF,12,938,0,2,0,6,1,16.7,0,0,7,8,31,0,Midfielder,1.78 m,64 kg,5/28/1992,England,SWA
Wayne Routledge,MF,27,1927,3,1,0,18,9,50,1,0,28,16,91,8,Midfielder,1.70 m,64 kg,1/7/1985,England,SWA
