Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Ben Davies,D,17,1195,0,1,0,12,3,25,1,0,9,18,48,1,Defender,1.82 m,76 kg,4/24/1993,Wales,TOT
Christian Eriksen,MF,31,2716,7,12,0,119,40,33.6,0,0,18,23,251,2,Midfielder,1.82 m,76 kg,2/14/1992,Denmark,TOT
Danny Rose,D,18,1533,2,2,0,23,5,21.7,8,0,29,48,82,1,Defender,1.74 m,76 kg,7/2/1990,England,TOT
Dele Alli,MF,31,2522,16,5,1,78,35,44.9,4,0,40,65,29,11,Midfielder,1.88 m,80 kg,4/11/1996,England,TOT
Eric Dier,MF,30,2521,2,0,0,18,4,22.2,6,0,21,11,24,2,Midfielder,1.88 m,90 kg,1/15/1994,England,TOT
Erik Lamela,MF,9,592,1,1,0,18,6,33.3,1,0,13,11,37,1,Midfielder,1.81 m,80 kg,3/4/1992,Argentina,TOT
Georges-Kevin Nkoudou,MF,6,47,0,0,0,2,1,50,0,0,1,3,7,0,Midfielder,1.75 m,73 kg,2/13/1995,France,TOT
Harry Kane,F,24,2002,20,5,4,76,40,52.6,1,0,16,37,35,16,Forward,1.88 m,86 kg,7/28/1993,England,TOT
Harry Winks,MF,21,477,1,1,0,6,2,33.3,1,0,10,10,9,0,Midfielder,1.76 m,74 kg,2/2/1996,England,TOT
Heung-Min Son,F,28,1614,12,4,0,65,26,40,2,0,10,25,67,20,Forward,1.83 m,77 kg,7/8/1992,South Korea,TOT
Hugo Lloris,GK,28,2465,0,0,0,0,0,0,0,0,0,4,0,0,GoalKeeper,1.88 m,82 kg,12/26/1986,France,TOT
Jan Vertonghen,D,27,2380,0,0,0,12,2,16.7,5,0,20,14,8,0,Defender,1.89 m,88 kg,4/24/1987,Belgium,TOT
Joshua Onomah,MF,5,18,0,0,0,1,0,0,0,0,0,1,1,1,Midfielder,1.85 m,83 kg,4/27/1997,England,TOT
Kevin Wimmer,D,5,356,0,0,0,0,0,-,3,0,4,1,2,0,Defender,1.87 m,92 kg,11/15/1992,Austria,TOT
Kieran Trippier,D,7,294,0,3,0,3,0,0,0,0,5,2,23,1,Defender,1.78 m,72 kg,9/19/1990,England,TOT
Kyle Walker,D,29,2525,0,5,0,16,5,31.3,6,0,34,27,98,3,Defender,1.83 m,83 kg,5/28/1990,England,TOT
Michel Vorm,GK,5,415,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,1.84 m,84 kg,10/20/1983,Netherlands,TOT
Mousa Dembele,MF,24,1866,1,1,0,15,3,20,5,0,35,18,4,0,Midfielder,1.85 m,88 kg,7/16/1987,Belgium,TOT
Moussa Sissoko,MF,21,749,0,2,0,14,1,7.1,2,0,16,9,43,2,Midfielder,1.87 m,91 kg,8/16/1989,France,TOT
Toby Alderweireld,D,24,2064,0,0,0,20,7,35,1,0,7,5,6,0,Defender,1.87 m,91 kg,3/2/1989,Belgium,TOT
Victor Wanyama,MF,30,2537,2,0,0,35,10,28.6,8,0,55,29,13,0,Midfielder,1.84 m,87 kg,6/25/1991,Kenya,TOT
Vincent Janssen,F,24,791,2,2,1,28,14,50,0,0,31,25,12,7,Forward,1.83 m,88 kg,6/15/1994,Netherlands,TOT
