Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Abdoulaye Doucouré,MF,14,836,1,0,0,19,7,36.8,3,0,5,3,11,0,Midfielder,1.84 m,76 kg,1/1/1993,France,WAT
Adrian Mariappa,D,3,201,0,0,0,0,0,-,0,0,1,3,0,1,Defender,1.80 m,78 kg,10/3/1986,England,WAT
Ben Watson,MF,4,51,0,0,0,0,0,-,0,1,2,0,0,0,Midfielder,1.81 m,80 kg,7/9/1985,England,WAT
Brandon Mason,D,1,22,0,0,0,0,0,-,0,0,1,0,0,0,Defender,,,9/30/1997,England,WAT
Christian Kabasele,D,13,587,2,0,0,6,2,33.3,1,0,12,3,13,0,Defender,1.88 m,86 kg,2/24/1991,DR Congo,WAT
Costel Pantilimon,GK,2,81,0,0,0,0,0,0,0,0,0,0,0,0,GoalKeeper,2.01 m,110 kg,2/1/1987,Romania,WAT
Craig Cathcart,D,15,1161,0,1,0,4,1,25,3,0,13,2,7,0,Defender,1.90 m,83 kg,2/6/1989,Northern Ireland,WAT
Daryl Janmaat,D,21,1126,1,1,0,18,6,33.3,1,0,13,3,42,2,Defender,1.85 m,80 kg,7/22/1989,Netherlands,WAT
Etienne Capoue,MF,31,2722,6,1,0,42,16,38.1,4,0,48,44,96,1,Midfielder,1.90 m,87 kg,7/11/1988,France,WAT
Heurelho Gomes,GK,32,2799,0,0,0,0,0,0,1,0,1,4,0,0,GoalKeeper,1.97 m,95 kg,2/15/1981,Brazil ,WAT
Isaac Success,F,17,464,1,1,0,13,8,61.5,1,0,11,24,14,1,Forward,1.82 m,90 kg,1/7/1996,Nigeria,WAT
Jerome Sinclair,F,5,114,0,0,0,1,0,0,0,0,4,3,0,0,Forward,1.81 m,75 kg,9/20/1996,England,WAT
José Holebas,D,29,2552,2,4,0,28,7,25,12,0,41,19,222,1,Defender,1.85 m,81 kg,6/27/1984,West Germany,WAT
Juan Camilo Zuniga,D,18,739,1,0,0,5,1,20,1,0,4,18,10,0,Defender,1.71 m,78 kg,12/14/1985,Colombia,WAT
Mauro Zárate,F,3,206,0,0,0,8,3,37.5,0,0,1,7,7,0,Forward,1.76 m,76 kg,3/18/1987,Argentina,WAT
Mbaye Niang,F,10,837,2,2,0,24,10,41.7,2,0,16,21,26,4,Forward,1.84 m,75 kg,12/19/1994,France,WAT
Miguel Ángel Britos,D,25,2174,1,2,0,17,5,29.4,6,2,35,24,23,2,Defender,1.90 m,85 kg,7/17/1985,Uruguay,WAT
Nordin Amrabat,MF,23,1691,0,3,0,24,6,25,3,0,42,33,121,1,Midfielder,1.81 m,84 kg,3/31/1987,Netherlands,WAT
Odion Ighalo,F,18,1291,1,1,0,36,10,27.8,1,0,18,15,6,9,Forward,1.81 m,82 kg,6/16/1989,Nigeria,WAT
Roberto Pereyra,MF,13,1040,2,2,0,8,4,50,2,1,8,19,39,2,Midfielder,1.82 m,77 kg,1/7/1991,Argentina,WAT
Sebastian Prodl,D,28,2322,1,1,0,17,5,29.4,8,0,33,24,4,1,Defender,1.96 m,97 kg,6/21/1987,Austria,WAT
Stefano Okaka,F,13,643,3,0,0,15,8,53.3,4,0,21,13,6,9,Forward,1.86 m,82 kg,8/9/1989,Italy,WAT
Tom Cleverley,MF,12,992,0,2,0,4,0,0,3,0,12,7,43,0,Midfielder,1.75 m,67 kg,8/12/1989,England,WAT
Troy Deeney,F,31,2616,10,4,3,39,18,46.2,6,0,37,26,24,13,Forward,1.85 m,101 kg,6/29/1988,England,WAT
Valon Behrami,MF,24,1785,0,0,0,5,0,0,6,0,26,34,10,0,Midfielder,1.85 m,78 kg,4/19/1985,Yugoslavia,WAT
Younes Kaboul,D,22,1825,2,0,0,11,4,36.4,2,0,20,6,26,0,Defender,1.93 m,87 kg,1/4/1986,France,WAT
