Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Allan Nyom,D,27,2267,0,1,0,5,1,20,7,0,44,17,75,2,Defender,1.89 m,70 kg,5/10/1988,France,WBA
Ben Foster ,GK,33,2970,0,0,0,1,0,0,2,0,0,4,0,0,GoalKeeper,1.93 m ,90 kg,4/3/1983,England,WBA
Brendan Galloway,D,3,249,0,0,0,3,1,33.3,0,0,6,3,5,0,Defender,1.88 m,87 kg,3/17/1996,Zimbabwe,WBA
Chris Brunt,MF,26,2028,3,3,0,27,8,29.6,5,0,15,4,165,1,Midfielder,1.87 m,85 kg,12/14/1984,Ireland,WBA
Claudio Yacob,MF,28,2127,0,0,0,8,0,0,8,0,34,27,5,0,Midfielder,1.81 m,73 kg,7/18/1987,Argentina,WBA
Craig Dawson,D,32,2828,3,0,0,19,7,36.8,9,0,40,34,96,2,Defender,1.88 m,85 kg,5/6/1990,England,WBA
Darren Fletcher,MF,33,2854,2,2,0,19,7,36.8,0,0,18,21,34,1,Midfielder,1.83 m,83 kg,2/1/1984,Scotland,WBA
Gareth McAuley,D,33,2899,6,1,0,17,7,41.2,4,0,22,11,10,0,Defender,1.95 m,90 kg,12/5/1979,Ireland,WBA
Hal Robson-Kanu,F,27,658,2,2,0,15,5,33.3,3,0,27,24,13,5,Forward,1.84 m,83 kg,5/21/1989,England,WBA
Jake Livermore,MF,11,889,0,0,0,8,0,0,2,0,12,7,5,0,Midfielder,1.80 m,76 kg,11/14/1989,England,WBA
James McClean,MF,29,1236,1,2,0,20,12,60,8,0,27,16,85,5,Midfielder,1.80 m,70 kg,4/22/1989,Ireland,WBA
James Morrison,MF,27,1514,5,2,0,20,7,35,2,0,16,14,21,3,Midfielder,1.80 m,75 kg,5/25/1986,England,WBA
Jonathan Leko,MF,7,99,0,1,0,0,0,-,0,0,0,5,8,0,Midfielder,1.82 m,75 kg,4/24/1999,DR Congo,WBA
Jonny Evans,D,26,2227,1,1,0,7,3,42.9,8,0,28,22,19,0,Defender,1.88 m,77 kg,1/2/1988,Ireland,WBA
José Rondón,F,33,2464,7,2,0,70,20,28.6,2,0,37,49,16,24,Forward,1.86 m,86 kg,9/16/1989,Venezuela,WBA
Matt Phillips,MF,27,2193,4,8,0,47,10,21.3,2,0,12,10,157,2,Midfielder,1.83 m,75 kg,3/13/1991,England,WBA
Nacer Chadli,MF,28,1936,5,5,1,42,17,40.5,1,0,15,14,57,3,Midfielder,1.87 m,80 kg,8/2/1989,Belgium,WBA
Sam Field,MF,6,171,0,0,0,1,0,0,1,0,3,2,8,0,Midfielder,1.77 m,73 kg,5/8/1998,England,WBA
