Name,Pos,MP,Min,GS,Ast,PS,SHTS,SOTS,STS%,YC,RC,FC,FS,CR,Off,Position,Height,Weight,Birthdate,Nationality,Team
Aaron Cresswell,D,21,1791,0,2,0,10,2,20,2,1,10,8,77,3,Defender,1.70 m,66 kg,12/15/1989,England,WHU
Adrián,GK,11,990,0,0,0,0,0,0,1,0,0,3,0,0,GoalKeeper,1.90 m,80 kg,1/3/1987,Spain,WHU
Álvaro Arbeloa,D,3,256,0,0,0,1,0,0,3,0,5,3,5,0,Defender,1.84 m,79 kg,1/17/1983,Spain,WHU
André Ayew,F,20,1030,5,1,0,24,10,41.7,1,0,10,18,7,3,Forward,1.76 m,72 kg,12/17/1989,France,WHU
Andy Carroll,F,18,1313,7,1,0,38,14,36.8,3,0,25,30,16,5,Forward,1.93 m,79 kg,1/6/1989,England,WHU
Angelo Ogbonna,D,19,1665,0,0,0,3,1,33.3,2,0,11,3,7,0,Defender,1.91 m,86 kg,5/23/1988,Italy,WHU
Arthur Masuaku,D,11,836,0,1,0,2,0,0,1,0,14,10,32,1,Defender,1.79 m,70 kg,11/7/1993,France,WHU
Ashley Fletcher,F,13,312,0,0,0,7,3,42.9,2,0,9,4,6,1,Forward,1.85 m,78 kg,10/2/1995,England,WHU
Cheikhou Kouyate,MF,28,2468,1,0,0,16,3,18.8,3,0,40,29,15,1,Midfielder,1.89 m,83 kg,12/21/1989,Senegal,WHU
Darren Randolph,GK,22,1980,0,0,0,0,0,0,1,0,0,2,0,0,GoalKeeper,1.97 m,89 kg,12/19/1992,Switzerland,WHU
Diafra Sakho,F,3,153,1,0,0,2,1,50,0,0,2,3,1,5,Forward,1.84 m,79 kg,12/24/1989,Senegal,WHU
Edimilson Fernandes,MF,23,626,0,0,0,13,2,15.4,2,0,14,4,4,0,Midfielder,1.90 m,70 kg,4/15/1996,Switzerland,WHU
Gokhan Tore,MF,5,239,0,1,0,5,0,0,0,0,4,1,17,1,Midfielder,1.76 m,74 kg,1/20/1992,Germany,WHU
Havard Nordtveit,MF,13,686,0,1,0,4,0,0,2,0,9,4,15,0,Midfielder,1.88 m,83 kg,6/21/1990,Norway,WHU
James Collins,D,17,1204,2,0,0,9,3,33.3,1,0,5,3,1,1,Defender,1.88 m,83 kg,8/23/1983,Wales,WHU
Jonathan Calleri,F,12,251,1,0,0,10,2,20,0,0,9,3,10,3,Forward,1.79 m,75 kg,9/23/1993,Argentina,WHU
José Fonte,D,11,990,0,0,0,3,1,33.3,1,0,8,4,2,0,Defender,1.87 m,81 kg,12/22/1983,Portugal,WHU
Manuel Lanzini,MF,30,2262,7,2,2,58,17,29.3,7,0,18,31,70,5,Midfielder,1.67 m,59 kg,2/15/1993,Argentina,WHU
Mark Noble,MF,28,2287,3,0,1,22,6,27.3,9,0,26,39,35,1,Midfielder,1.80 m,70 kg,5/8/1987,England,WHU
Michail Antonio,MF,29,2439,9,3,0,77,23,29.9,4,1,30,49,107,18,Midfielder,1.80 m,82 kg,3/28/1990,England,WHU
Pedro Obiang,MF,22,1766,1,1,0,9,2,22.2,7,0,27,39,11,0,Midfielder,1.85 m,75 kg,3/27/1992,Spain,WHU
Robert Snodgrass,MF,11,725,0,2,0,10,2,20,0,0,11,10,74,1,Midfielder,1.82 m,82 kg,9/7/1987,Scotland,WHU
Sam Byram,D,15,977,0,1,0,5,0,0,4,1,17,10,27,1,Defender,1.80 m,72 kg,9/16/1993,England,WHU
Sofiane Feghouli,MF,19,913,2,3,0,16,5,31.3,1,1,8,15,68,2,Midfielder,1.77 m,75 kg,12/26/1989,France,WHU
Winston Reid,D,26,2229,2,2,0,10,2,20,7,1,30,35,4,1,Defender,1.90 m,87 kg,7/3/1988,New Zealand,WHU
